**INFO_BEGIN**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,WT310,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number,C2QG19067V,,,,,,,,,,,,,,,,,,,,,,,,,,
Version,F1.04,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2016,1,15,11,14,35,,,,,,,,,,,,,,,,,,,,,
Voltage Range,150,V,,,,,,,,,,,,,,,,,,,,,,,,,
Current Range,0.5,A,,,,,,,,,,,,,,,,,,,,,,,,,
Crest Factor,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Rate,0.25,S,,,,,,,,,,,,,,,,,,,,,,,,,
Standard,IEC62301 Ed.2(Auto),,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle Time,300,,,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm,LR,CA,SP1,SP2,SAE,,,,,,,,,,,,,,,,,,,,,,
Stop Factor,LR Stable,,,,,,,,,,,,,,,,,,,,,,,,,,
Valid Period,300,900,,,,,,,,,,,,,,,,,,,,,,,,,
**INFO_END**,,,,,,,,,,,,,,,,,,,,,,,,,,,
**DATA_BEGIN**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Test Voltage(V),Test Frequency(Hz),THD,Crest Factor U,Crest Factor I,Power(W),Accumulated Energy(Wh),Real Power Factor,Apparent Power(VA),TrendCount,LR-MeasurePower,LR-Threshold,CA-AverageMaximum,CA-AverageMinimum,CA-ThresholdMaximum,CA-ThresholdMinimum,SP1-MeasurePower,SP1-Threshold,SP2-MeasurePower,SP2-Threshold,SAE-MeasurePower,SAE-Threshold,Time (hr),Slope (W/hr),,,
11.75,119.81,59.976,0.13,1.419,6.063,1.304,0.0052,0.1946,6.699,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003263892,,,,
12,119.81,59.973,0.044,1.418,5.902,1.336,0.005292,0.1977,6.758,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003333336,,,,
12.25,119.81,59.966,0.133,1.418,6.46,1.359,0.005386,0.1971,6.895,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003402781,,,,
12.5,119.82,59.976,0.183,1.418,5.782,1.259,0.005473,0.1918,6.562,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003472225,,,,
12.75,119.82,59.969,0.066,1.418,6.244,1.316,0.005563,0.1968,6.687,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.00354167,,,,
13,119.8,59.957,0.042,1.418,6.001,1.328,0.005654,0.1971,6.736,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003611114,,,,
13.25,119.8,59.977,0.028,1.418,5.844,1.378,0.005747,0.2028,6.796,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003680559,,,,
13.5,119.81,59.97,0.106,1.419,6.165,1.236,0.005832,0.1896,6.518,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003750003,,,,
13.75,119.81,59.969,0.046,1.418,6.243,1.323,0.005925,0.1964,6.736,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003819448,,,,
14,119.81,59.965,0.163,1.418,5.866,1.333,0.006017,0.1977,6.743,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003888892,,,,
14.25,119.81,59.968,0.173,1.419,6.379,1.345,0.006111,0.1974,6.811,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.003958337,,,,
14.5,119.81,59.977,0.072,1.418,6.689,1.212,0.006196,0.1886,6.427,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.004027781,,,,
14.75,119.8,59.959,0.06,1.418,6.006,1.306,0.006287,0.1952,6.689,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.004097226,,,,
15,119.8,59.969,0.059,1.418,6.036,1.335,0.00638,0.1977,6.753,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.00416667,,,,
15.25,119.81,59.987,0.139,1.419,6.129,1.346,0.006474,0.1998,6.739,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.004236115,,,,
15.5,119.81,59.976,0.028,1.419,6.538,1.248,0.006561,0.1911,6.528,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.004305559,,,,
