0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC,FF,Current Leakage (mA),RoomTemp,Humidity
0:12:12,1,0.04,115.0,0.30,0.01,0.00003,8.12,42.32,-999.00,-999.00,-999.00,0,8.12,42.32,0.06492,84.84,72.1,84.84
0:13:03,1,0.04,115.0,0.30,0.01,0.00003,8.32,42.38,-999.00,-999.00,-999.00,0,8.32,42.38,0.06492,85.04,70.6,85.04
0:13:53,1,0.99,114.9,9.60,0.01,0.00029,8.50,42.46,-999.00,-999.00,-999.00,0,8.50,42.46,0.06492,85.24,69.6,85.24
0:13:49,2,0.99,114.9,10.00,11.32,0.00039,8.51,42.46,-999.00,-999.00,-999.00,0,8.51,42.46,0.06492,85.24,69.6,85.24
0:13:56,2,0.99,114.9,10.00,11.32,0.00039,8.51,42.46,-999.00,-999.00,-999.00,0,8.51,42.46,0.06492,85.24,69.6,85.24
0:13:56,2,0.99,114.9,10.00,11.32,0.00039,8.51,42.46,-999.00,-999.00,-999.00,0,8.51,42.46,0.06492,85.24,69.6,85.24
0:14:46,2,0.99,114.8,9.30,10.48,0.00191,8.85,42.52,-999.00,-999.00,-999.00,0,8.85,42.52,0.06492,85.44,70.1,85.44
0:15:36,2,0.99,114.9,9.10,10.14,0.00334,9.04,42.50,-999.00,-999.00,-999.00,0,9.04,42.50,0.06492,85.64,70.9,85.64
0:16:26,2,0.99,114.9,8.90,10.09,0.00475,9.09,42.46,-999.00,-999.00,-999.00,0,9.09,42.46,0.30432,85.64,71.1,85.64
0:17:17,2,0.98,114.9,8.90,10.04,0.00614,9.11,42.41,-999.00,-999.00,-999.00,0,9.11,42.41,0.06492,85.83,71.0,85.83
0:18:07,2,0.99,114.9,8.90,10.04,0.00753,9.06,42.38,-999.00,-999.00,-999.00,0,9.06,42.38,0.06492,86.03,69.2,86.03
0:18:57,2,0.99,114.9,8.80,9.93,0.00901,8.95,42.32,-999.00,-999.00,-999.00,0,8.95,42.32,0.06492,86.23,69.5,86.23
0:19:47,2,0.99,114.9,8.80,9.97,0.01039,8.82,42.24,-999.00,-999.00,-999.00,0,8.82,42.24,0.30432,86.23,70.3,86.23
0:20:37,2,0.98,114.8,8.70,9.87,0.01176,8.59,42.12,-999.00,-999.00,-999.00,0,8.59,42.12,0.06492,86.43,70.7,86.43
0:21:28,2,0.98,114.8,8.70,9.85,0.01313,8.38,42.00,-999.00,-999.00,-999.00,0,8.38,42.00,0.30432,86.43,71.0,86.43
0:22:18,2,0.99,115.0,8.70,9.85,0.01449,8.13,41.91,-999.00,-999.00,-999.00,0,8.13,41.91,0.06492,86.63,70.9,86.63
0:23:08,2,0.98,115.2,8.60,9.78,0.01585,7.87,41.83,-999.00,-999.00,-999.00,0,7.87,41.83,0.06492,86.63,69.4,86.63
0:23:58,2,0.98,115.2,8.60,9.72,0.01721,7.55,41.69,-999.00,-999.00,-999.00,0,7.55,41.69,0.06492,86.83,68.8,86.83
0:24:49,2,0.98,115.1,8.60,9.70,0.01865,7.27,41.59,-999.00,-999.00,-999.00,0,7.27,41.59,0.06492,86.83,69.9,86.83
0:25:39,2,0.98,115.1,8.50,9.66,0.01999,6.92,41.43,-999.00,-999.00,-999.00,0,6.92,41.43,0.30432,87.02,70.4,87.02
0:26:29,2,0.98,115.1,8.50,9.63,0.02132,6.59,41.29,-999.00,-999.00,-999.00,0,6.59,41.29,0.06492,87.02,70.0,87.02
0:27:19,2,0.98,115.1,8.50,9.58,0.02266,6.24,41.15,-999.00,-999.00,-999.00,0,6.24,41.15,0.06492,87.22,69.9,87.22
0:28:09,2,0.98,115.1,8.40,9.57,0.02398,5.86,40.95,-999.00,-999.00,-999.00,0,5.86,40.95,0.30432,87.22,68.8,87.22
0:29:00,2,0.98,115.1,8.40,9.53,0.02531,5.51,40.82,-999.00,-999.00,-999.00,0,5.51,40.82,0.06492,87.22,68.6,87.22
0:29:50,2,0.98,115.1,8.40,9.54,0.02662,5.17,40.68,-999.00,-999.00,-999.00,0,5.17,40.68,0.06492,87.42,69.3,87.42
0:30:40,2,0.98,115.1,8.40,9.47,0.02794,4.78,40.51,-999.00,-999.00,-999.00,0,4.78,40.51,0.30432,87.42,70.2,87.42
0:31:30,2,0.98,115.1,8.30,9.45,0.02934,4.38,40.32,-999.00,-999.00,-999.00,0,4.38,40.32,0.06492,87.42,70.7,87.42
0:32:04,2,0.98,115.1,8.30,9.45,0.03019,4.15,40.21,-999.00,-999.00,-999.00,0,4.15,40.21,0.06492,87.42,70.8,87.42
0:32:04,2,0.98,115.1,8.30,9.45,0.03019,4.15,40.21,-999.00,-999.00,-999.00,0,4.15,40.21,0.06492,87.42,70.8,87.42
0:32:04,2,0.98,115.1,8.30,9.45,0.03019,4.15,40.21,-999.00,-999.00,-999.00,0,4.15,40.21,0.06492,87.42,70.8,87.42
0:32:39,1,0.04,115.1,0.30,0.01,0.03114,3.88,40.08,-999.00,-999.00,-999.00,0,3.88,40.08,0.06492,87.42,69.5,87.42
0:32:46,1,0.04,115.1,0.30,0.01,0.03114,3.88,40.08,-999.00,-999.00,-999.00,0,3.88,40.08,0.06492,87.42,69.5,87.42
0:32:46,1,0.04,115.1,0.30,0.01,0.03114,3.88,40.08,-999.00,-999.00,-999.00,0,3.88,40.08,0.06492,87.42,69.5,87.42
0:33:37,1,0.04,115.1,0.30,0.01,0.03114,3.71,40.02,-999.00,-999.00,-999.00,0,3.71,40.02,0.06492,87.62,68.7,87.62
0:34:27,1,0.04,115.1,0.30,0.01,0.03115,3.61,39.99,-999.00,-999.00,-999.00,0,3.61,39.99,0.06492,87.62,67.5,87.62
0:35:17,1,0.04,115.1,0.30,0.01,0.03115,3.53,39.96,-999.00,-999.00,-999.00,0,3.53,39.96,0.30432,87.82,68.1,87.82
0:36:08,1,0.04,115.0,0.30,0.01,0.03115,3.49,39.96,-999.00,-999.00,-999.00,0,3.49,39.96,0.30432,87.82,69.2,87.82
0:36:58,1,0.04,115.0,0.30,0.01,0.03115,3.39,39.95,-999.00,-999.00,-999.00,0,3.39,39.95,0.06492,87.82,69.7,87.82
0:37:48,1,0.04,115.0,0.30,0.01,0.03115,3.33,39.94,-999.00,-999.00,-999.00,0,3.33,39.94,0.06492,87.82,68.8,87.82
0:38:38,1,0.04,115.0,0.30,0.01,0.03116,3.30,39.94,-999.00,-999.00,-999.00,0,3.30,39.94,0.06492,87.82,68.1,87.82
0:39:28,1,0.04,115.0,0.30,0.01,0.03116,3.29,39.94,-999.00,-999.00,-999.00,0,3.29,39.94,0.06492,88.02,68.0,88.02
0:40:05,1,0.04,115.0,0.30,0.01,0.03116,3.23,39.92,-999.00,-999.00,-999.00,0,3.23,39.92,0.30432,88.02,68.7,88.02
0:40:05,1,0.04,115.0,0.30,0.01,0.03116,3.23,39.92,-999.00,-999.00,-999.00,0,3.23,39.92,0.30432,88.02,68.7,88.02
0:40:05,1,0.04,115.0,0.30,0.01,0.03116,3.23,39.92,-999.00,-999.00,-999.00,0,3.23,39.92,0.30432,88.02,68.7,88.02
0:40:55,1,0.04,115.0,0.30,0.01,0.03116,3.21,39.97,-999.00,-999.00,-999.00,0,3.21,39.97,0.06492,88.02,69.5,88.02
0:41:46,1,0.04,115.0,0.30,0.01,0.03116,3.23,40.01,-999.00,-999.00,-999.00,0,3.23,40.01,0.06492,88.02,70.0,88.02
0:42:36,1,0.04,115.0,0.30,0.01,0.03117,3.20,40.02,-999.00,-999.00,-999.00,0,3.20,40.02,0.30432,88.21,68.5,88.21
0:43:26,1,0.04,115.0,0.30,0.01,0.03117,3.18,40.03,-999.00,-999.00,-999.00,0,3.18,40.03,0.06492,88.21,67.8,88.21
0:44:16,1,0.04,115.0,0.30,0.01,0.03117,3.24,40.06,-999.00,-999.00,-999.00,0,3.24,40.06,0.06492,88.21,67.9,88.21
0:45:06,1,0.04,115.0,0.30,0.01,0.03117,3.24,40.12,-999.00,-999.00,-999.00,0,3.24,40.12,0.06492,88.21,69.0,88.21
0:45:56,1,0.04,115.0,0.30,0.01,0.03117,3.29,40.14,-999.00,-999.00,-999.00,0,3.29,40.14,0.06492,88.21,69.7,88.21
0:46:46,1,0.04,115.0,0.30,0.01,0.03118,3.31,40.20,-999.00,-999.00,-999.00,0,3.31,40.20,0.30432,88.41,69.9,88.41
0:47:37,1,0.04,115.0,0.30,0.01,0.03118,3.35,40.24,-999.00,-999.00,-999.00,0,3.35,40.24,0.06492,88.41,69.1,88.41
0:48:27,1,0.04,115.0,0.30,0.01,0.03118,3.37,40.27,-999.00,-999.00,-999.00,0,3.37,40.27,0.30432,88.41,68.4,88.41
0:49:17,1,0.04,115.0,0.30,0.01,0.03118,3.44,40.28,-999.00,-999.00,-999.00,0,3.44,40.28,0.06492,88.41,68.1,88.41
0:50:08,1,0.04,115.0,0.30,0.01,0.03118,3.51,40.39,-999.00,-999.00,-999.00,0,3.51,40.39,0.06492,88.41,68.4,88.41
0:50:58,1,0.04,115.0,0.30,0.01,0.03119,3.58,40.40,-999.00,-999.00,-999.00,0,3.58,40.40,0.06492,88.61,68.9,88.61
0:51:48,1,0.04,115.0,0.30,0.01,0.03119,3.68,40.51,-999.00,-999.00,-999.00,0,3.68,40.51,0.06492,88.61,69.6,88.61
0:52:38,1,0.04,115.0,0.30,0.01,0.03119,3.75,40.54,-999.00,-999.00,-999.00,0,3.75,40.54,0.06492,88.61,68.9,88.61
0:53:28,1,0.04,115.0,0.30,0.01,0.03119,3.83,40.58,-999.00,-999.00,-999.00,0,3.83,40.58,0.06492,88.61,68.1,88.61
0:54:18,1,0.04,114.9,0.30,0.01,0.03119,3.94,40.65,-999.00,-999.00,-999.00,0,3.94,40.65,0.30432,88.61,68.0,88.61
0:55:08,1,0.04,114.9,0.30,0.01,0.03120,4.08,40.74,-999.00,-999.00,-999.00,0,4.08,40.74,0.06492,88.81,67.5,88.81
0:55:59,1,0.04,115.0,0.30,0.01,0.03120,4.20,40.82,-999.00,-999.00,-999.00,0,4.20,40.82,0.06492,88.81,67.8,88.81
0:56:49,1,0.04,115.0,0.30,0.01,0.03120,4.31,40.88,-999.00,-999.00,-999.00,0,4.31,40.88,0.06492,88.81,68.6,88.81
0:57:39,1,0.04,115.0,0.30,0.01,0.03120,4.43,40.93,-999.00,-999.00,-999.00,0,4.43,40.93,0.06492,88.81,68.4,88.81
0:58:29,1,0.04,115.0,0.30,0.01,0.03120,4.57,41.03,-999.00,-999.00,-999.00,0,4.57,41.03,0.06492,88.81,67.2,88.81
0:59:20,1,0.04,115.0,0.30,0.01,0.03121,4.69,41.06,-999.00,-999.00,-999.00,0,4.69,41.06,0.30432,89.01,67.1,89.01
1:00:10,1,0.04,114.9,0.30,0.01,0.03121,4.88,41.17,-999.00,-999.00,-999.00,0,4.88,41.17,0.06492,89.01,68.2,89.01
1:01:00,1,0.04,114.9,0.30,0.01,0.03121,4.99,41.26,-999.00,-999.00,-999.00,0,4.99,41.26,0.06492,89.01,69.0,89.01
1:01:50,1,0.04,114.9,0.30,0.01,0.03121,5.16,41.31,-999.00,-999.00,-999.00,0,5.16,41.31,0.06492,89.01,69.2,89.01
1:02:41,1,0.04,115.0,0.30,0.01,0.03121,5.28,41.39,-999.00,-999.00,-999.00,0,5.28,41.39,0.06492,89.01,68.7,89.01
1:03:31,1,0.04,115.0,0.30,0.01,0.03122,5.43,41.43,-999.00,-999.00,-999.00,0,5.43,41.43,0.06492,89.01,67.8,89.01
1:04:08,1,0.04,115.0,0.30,0.01,0.03122,5.49,41.50,-999.00,-999.00,-999.00,0,5.49,41.50,0.06492,89.01,68.0,89.01
1:04:08,1,0.04,115.0,0.30,0.01,0.03122,5.49,41.50,-999.00,-999.00,-999.00,0,5.49,41.50,0.06492,89.01,68.0,89.01
1:04:08,1,0.04,115.0,0.30,0.01,0.03122,5.49,41.50,-999.00,-999.00,-999.00,0,5.49,41.50,0.06492,89.01,68.0,89.01
1:04:58,1,0.04,115.0,0.30,0.01,0.03122,5.69,41.58,-999.00,-999.00,-999.00,0,5.69,41.58,0.06492,89.01,67.4,89.01
1:05:48,1,0.04,115.0,0.30,0.01,0.03122,5.85,41.64,-999.00,-999.00,-999.00,0,5.85,41.64,0.30432,89.01,67.4,89.01
1:06:38,1,0.04,115.0,0.30,0.01,0.03122,6.04,41.72,-999.00,-999.00,-999.00,0,6.04,41.72,0.06492,89.21,67.4,89.21
1:07:28,1,0.04,115.0,0.30,0.01,0.03123,6.22,41.83,-999.00,-999.00,-999.00,0,6.22,41.83,0.06492,89.21,67.6,89.21
1:08:19,1,0.04,115.0,0.30,0.01,0.03123,6.37,41.90,-999.00,-999.00,-999.00,0,6.37,41.90,0.06492,89.21,67.1,89.21
1:09:09,1,0.04,115.0,0.30,0.01,0.03123,6.56,41.99,-999.00,-999.00,-999.00,0,6.56,41.99,0.30432,89.21,67.1,89.21
1:09:59,1,0.04,115.0,0.30,0.01,0.03123,6.73,42.08,-999.00,-999.00,-999.00,0,6.73,42.08,0.30432,89.21,67.3,89.21
1:10:49,1,0.04,115.0,0.30,0.01,0.03123,6.89,42.13,-999.00,-999.00,-999.00,0,6.89,42.13,0.06492,89.21,68.0,89.21
1:11:40,1,0.04,115.0,0.30,0.01,0.03124,7.08,42.24,-999.00,-999.00,-999.00,0,7.08,42.24,0.06492,89.21,68.6,89.21
1:12:09,1,0.99,115.0,9.60,0.01,0.03148,7.19,42.27,-999.00,-999.00,-999.00,0,7.19,42.27,0.30432,89.21,68.6,89.21
1:12:09,1,0.99,115.0,9.60,0.01,0.03148,7.19,42.27,-999.00,-999.00,-999.00,0,7.19,42.27,0.30432,89.21,68.6,89.21
1:12:09,1,0.99,115.0,9.60,0.01,0.03148,7.19,42.27,-999.00,-999.00,-999.00,0,7.19,42.27,0.30432,89.21,68.6,89.21
1:12:05,2,0.99,114.9,10.10,11.46,0.03158,7.21,42.27,-999.00,-999.00,-999.00,0,7.21,42.27,0.06492,89.21,68.6,89.21
1:12:12,2,0.99,114.9,10.10,11.46,0.03158,7.21,42.27,-999.00,-999.00,-999.00,0,7.21,42.27,0.06492,89.21,68.6,89.21
1:12:12,2,0.99,114.9,10.10,11.46,0.03158,7.21,42.27,-999.00,-999.00,-999.00,0,7.21,42.27,0.06492,89.21,68.6,89.21
1:13:02,2,0.99,114.8,9.50,10.95,0.03313,7.59,42.29,-999.00,-999.00,-999.00,0,7.59,42.29,0.06492,89.21,68.0,89.21
1:13:52,2,0.99,114.8,9.10,10.36,0.03459,7.80,42.33,-999.00,-999.00,-999.00,0,7.80,42.33,0.06492,89.21,67.1,89.21
1:14:42,2,0.98,114.8,9.00,10.17,0.03601,7.92,42.27,-999.00,-999.00,-999.00,0,7.92,42.27,0.06492,89.21,66.9,89.21
1:15:32,2,0.99,114.9,9.00,10.21,0.03753,7.97,42.25,-999.00,-999.00,-999.00,0,7.97,42.25,0.06492,89.21,66.1,89.21
1:16:23,2,0.99,115.2,8.90,10.14,0.03893,7.93,42.21,-999.00,-999.00,-999.00,0,7.93,42.21,0.06492,89.40,66.2,89.40
1:17:13,2,0.99,115.2,8.90,10.10,0.04034,7.87,42.12,-999.00,-999.00,-999.00,0,7.87,42.12,0.06492,89.40,65.9,89.40
1:18:03,2,0.99,115.2,8.90,10.08,0.04174,7.74,42.08,-999.00,-999.00,-999.00,0,7.74,42.08,0.06492,89.40,65.8,89.40
1:18:53,2,0.98,115.2,8.80,10.04,0.04313,7.60,42.03,-999.00,-999.00,-999.00,0,7.60,42.03,0.06492,89.40,65.6,89.40
1:19:43,2,0.99,115.2,8.80,9.99,0.04452,7.42,41.96,-999.00,-999.00,-999.00,0,7.42,41.96,0.06492,89.40,65.7,89.40
1:20:34,2,0.99,115.2,8.80,9.96,0.04590,7.22,41.86,-999.00,-999.00,-999.00,0,7.22,41.86,0.30432,89.40,66.7,89.40
1:21:24,2,0.99,115.2,8.70,9.90,0.04727,6.98,41.75,-999.00,-999.00,-999.00,0,6.98,41.75,0.06492,89.40,66.3,89.40
1:22:14,2,0.99,114.8,8.70,9.88,0.04865,6.76,41.69,-999.00,-999.00,-999.00,0,6.76,41.69,0.06492,89.40,65.5,89.40
1:23:05,2,0.99,114.9,8.70,9.88,0.05011,6.48,41.56,-999.00,-999.00,-999.00,0,6.48,41.56,0.06492,89.40,64.9,89.40
1:23:55,2,0.99,115.2,8.60,9.80,0.05148,6.22,41.43,-999.00,-999.00,-999.00,0,6.22,41.43,0.06492,89.60,65.0,89.60
1:24:45,2,0.98,115.2,8.60,9.79,0.05283,5.93,41.30,-999.00,-999.00,-999.00,0,5.93,41.30,0.06492,89.60,65.0,89.60
1:25:36,2,0.98,115.2,8.60,9.73,0.05418,5.65,41.15,-999.00,-999.00,-999.00,0,5.65,41.15,0.06492,89.60,64.6,89.60
1:26:26,2,0.99,114.9,8.50,9.68,0.05553,5.31,41.02,-999.00,-999.00,-999.00,0,5.31,41.02,0.30432,89.60,65.2,89.60
1:27:16,2,0.98,115.2,8.60,9.69,0.05687,4.98,40.88,-999.00,-999.00,-999.00,0,4.98,40.88,0.06492,89.60,65.5,89.60
1:28:06,2,0.98,115.0,8.50,9.65,0.05821,4.67,40.74,-999.00,-999.00,-999.00,0,4.67,40.74,0.06492,89.60,65.0,89.60
1:28:56,2,0.98,115.0,8.50,9.61,0.05964,4.34,40.57,-999.00,-999.00,-999.00,0,4.34,40.57,0.30432,89.80,64.9,89.80
1:29:47,2,0.98,114.9,8.50,9.56,0.06097,4.03,40.46,-999.00,-999.00,-999.00,0,4.03,40.46,0.06492,89.80,64.5,89.80
1:30:37,2,0.99,115.1,8.40,9.56,0.06229,3.69,40.28,-999.00,-999.00,-999.00,0,3.69,40.28,0.30432,89.80,63.7,89.80
1:31:27,2,0.99,115.0,8.40,9.53,0.06362,3.35,40.13,-999.00,-999.00,-999.00,0,3.35,40.13,0.30432,89.80,63.8,89.80
1:32:17,2,0.98,114.9,8.40,9.53,0.06494,3.02,39.95,-999.00,-999.00,-999.00,0,3.02,39.95,0.06492,89.80,64.0,89.80
1:32:38,1,0.04,115.0,0.30,0.01,0.06552,2.86,39.85,-999.00,-999.00,-999.00,0,2.86,39.85,0.06492,89.80,63.6,89.80
1:32:44,1,0.04,115.0,0.30,0.01,0.06552,2.86,39.85,-999.00,-999.00,-999.00,0,2.86,39.85,0.06492,89.80,63.6,89.80
1:32:44,1,0.04,115.0,0.30,0.01,0.06552,2.86,39.85,-999.00,-999.00,-999.00,0,2.86,39.85,0.06492,89.80,63.6,89.80
1:33:34,1,0.04,115.1,0.30,0.01,0.06553,2.73,39.85,-999.00,-999.00,-999.00,0,2.73,39.85,0.06492,89.80,63.5,89.80
1:34:24,1,0.04,115.2,0.30,0.01,0.06553,2.66,39.83,-999.00,-999.00,-999.00,0,2.66,39.83,0.06492,89.80,63.5,89.80
1:35:15,1,0.04,115.2,0.30,0.01,0.06553,2.58,39.80,-999.00,-999.00,-999.00,0,2.58,39.80,0.06492,89.80,63.2,89.80
1:36:05,1,0.04,115.1,0.30,0.01,0.06553,2.53,39.80,-999.00,-999.00,-999.00,0,2.53,39.80,0.30432,89.80,63.3,89.80
1:36:12,1,0.04,115.1,0.30,0.01,0.06553,2.53,39.80,-999.00,-999.00,-999.00,0,2.53,39.80,0.06492,89.80,63.3,89.80
1:36:12,1,0.04,115.1,0.30,0.01,0.06553,2.53,39.80,-999.00,-999.00,-999.00,0,2.53,39.80,0.06492,89.80,63.3,89.80
1:36:12,1,0.04,115.1,0.30,0.01,0.06553,2.53,39.80,-999.00,-999.00,-999.00,0,2.53,39.80,0.06492,89.80,63.3,89.80
1:37:02,1,0.04,115.1,0.30,0.01,0.06553,2.47,39.80,-999.00,-999.00,-999.00,0,2.47,39.80,0.06492,89.80,63.2,89.80
1:37:52,1,0.04,115.2,0.30,0.01,0.06554,2.46,39.80,-999.00,-999.00,-999.00,0,2.46,39.80,0.06492,89.80,63.1,89.80
1:38:42,1,0.04,115.2,0.30,0.01,0.06554,2.41,39.84,-999.00,-999.00,-999.00,0,2.41,39.84,0.06492,89.80,62.2,89.80
1:39:33,1,0.04,115.2,0.30,0.01,0.06554,2.41,39.84,-999.00,-999.00,-999.00,0,2.41,39.84,0.06492,89.80,62.3,89.80
1:40:23,1,0.04,115.2,0.30,0.01,0.06554,2.37,39.85,-999.00,-999.00,-999.00,0,2.37,39.85,0.06492,89.80,62.2,89.80
1:41:13,1,0.04,115.2,0.30,0.01,0.06554,2.36,39.87,-999.00,-999.00,-999.00,0,2.36,39.87,0.06492,89.80,62.2,89.80
1:42:04,1,0.04,115.2,0.30,0.01,0.06555,2.40,39.92,-999.00,-999.00,-999.00,0,2.40,39.92,0.06492,89.80,61.9,89.80
1:42:54,1,0.04,115.2,0.30,0.01,0.06555,2.38,39.95,-999.00,-999.00,-999.00,0,2.38,39.95,0.30432,89.80,62.1,89.80
1:43:44,1,0.04,115.2,0.30,0.01,0.06555,2.44,40.00,-999.00,-999.00,-999.00,0,2.44,40.00,0.06492,89.80,62.0,89.80
1:44:13,1,0.04,115.2,0.30,0.01,0.06555,2.47,40.02,-999.00,-999.00,-999.00,0,2.47,40.02,0.30432,89.80,62.0,89.80
1:44:13,1,0.04,115.2,0.30,0.01,0.06555,2.47,40.02,-999.00,-999.00,-999.00,0,2.47,40.02,0.30432,89.80,62.0,89.80
1:44:13,1,0.04,115.2,0.30,0.01,0.06555,2.47,40.02,-999.00,-999.00,-999.00,0,2.47,40.02,0.30432,89.80,62.0,89.80
1:45:04,1,0.04,115.2,0.30,0.01,0.06555,2.51,40.07,-999.00,-999.00,-999.00,0,2.51,40.07,0.06492,89.80,61.8,89.80
1:45:54,1,0.04,115.2,0.30,0.01,0.06556,2.55,40.12,-999.00,-999.00,-999.00,0,2.55,40.12,0.06492,89.80,61.6,89.80
1:46:44,1,0.04,115.2,0.30,0.01,0.06556,2.60,40.16,-999.00,-999.00,-999.00,0,2.60,40.16,0.06492,89.80,61.2,89.80
1:47:34,1,0.04,115.2,0.30,0.01,0.06556,2.67,40.24,-999.00,-999.00,-999.00,0,2.67,40.24,0.06492,89.80,61.1,89.80
1:48:24,1,0.04,115.2,0.30,0.01,0.06556,2.74,40.29,-999.00,-999.00,-999.00,0,2.74,40.29,0.30432,89.80,61.1,89.80
1:49:15,1,0.04,115.2,0.30,0.01,0.06556,2.83,40.34,-999.00,-999.00,-999.00,0,2.83,40.34,0.06492,90.00,60.9,90.00
1:50:05,1,0.04,115.2,0.30,0.01,0.06557,2.91,40.40,-999.00,-999.00,-999.00,0,2.91,40.40,0.06492,90.00,61.0,90.00
1:50:55,1,0.04,115.2,0.30,0.01,0.06557,2.99,40.49,-999.00,-999.00,-999.00,0,2.99,40.49,0.06492,90.00,61.0,90.00
1:51:45,1,0.04,115.2,0.30,0.01,0.06557,3.10,40.54,-999.00,-999.00,-999.00,0,3.10,40.54,0.06492,90.00,61.0,90.00
1:52:35,1,0.04,115.2,0.30,0.01,0.06557,3.20,40.58,-999.00,-999.00,-999.00,0,3.20,40.58,0.06492,90.00,61.1,90.00
1:53:26,1,0.04,115.2,0.30,0.01,0.06557,3.34,40.69,-999.00,-999.00,-999.00,0,3.34,40.69,0.30432,90.00,61.1,90.00
1:54:16,1,0.04,115.2,0.30,0.01,0.06558,3.44,40.75,-999.00,-999.00,-999.00,0,3.44,40.75,0.06492,90.00,60.9,90.00
1:55:06,1,0.04,115.2,0.30,0.01,0.06558,3.56,40.82,-999.00,-999.00,-999.00,0,3.56,40.82,0.30432,90.00,60.8,90.00
1:55:56,1,0.04,115.2,0.30,0.01,0.06558,3.69,40.89,-999.00,-999.00,-999.00,0,3.69,40.89,0.06492,90.00,60.8,90.00
1:56:46,1,0.04,115.2,0.30,0.01,0.06558,3.84,40.98,-999.00,-999.00,-999.00,0,3.84,40.98,0.06492,90.00,60.8,90.00
