0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,VOLTACT,AMPACT,WATTACT,WHRACT,YVTHD,YATHD,YFREQ,WATTSSTDDEV,VOLTSSTDDEV,WATTSDELTA,AMPSDELTA,VOLTSDELTA,WATTSDELTARBAR,VOLTSDELTARBAR,AMPSDELTARBAR,ARWATTSDELTA,RAWWATTSDELTA
0:00:00,State,Pwr Fac,Voltage V,Amps A,Wattage W,Kwatt Hours,Frequency,Volt Actual,Amp Actual,Watt Actual,Whr Actual,Yok Vthd,Yok Athd,Yok Freq,Watts Std Dev,Volts Std Dev,Watts Delta,Amps Delta,Volts Delta,Watts Delta RBar,Volts Delta RBar,Amps Delta RBar,Watts Delta Avg,Raw Watts Delta
92:34:25,1,0.00,57.628,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:34:35,1,0.00,57.627,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:34:45,1,0.00,57.624,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:34:55,1,0.00,57.620,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:35:06,1,0.00,57.616,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:35:16,1,0.00,57.621,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:35:26,1,0.00,57.620,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:35:37,1,0.00,57.617,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:35:47,1,0.00,57.621,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:35:57,1,0.00,57.620,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:36:07,1,0.00,57.611,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:36:17,1,0.00,57.614,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:36:27,1,0.00,57.618,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:36:37,1,0.00,57.625,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:36:48,1,0.00,57.618,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:36:58,1,0.00,57.612,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:37:08,1,0.00,57.623,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:37:18,1,0.00,57.621,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:37:29,1,0.00,57.625,-0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:37:39,1,0.00,57.625,-0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:37:49,1,0.00,57.629,-0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:37:59,1,0.00,57.621,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:38:10,1,0.00,57.619,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:38:20,1,0.00,57.614,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:38:30,1,0.00,57.616,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:38:40,1,0.00,57.620,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:38:51,1,0.00,57.619,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:39:01,1,0.00,57.625,-0.0000,0,0,59.97,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:39:11,1,0.00,57.619,-0.0000,0,0,59.98,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:39:21,1,0.00,57.625,-0.0000,0,0,59.99,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:39:31,1,0.00,57.638,-0.0000,0,0,59.99,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:39:41,1,0.00,57.645,-0.0000,0,0,59.99,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:39:51,1,0.00,57.646,-0.0000,0,0,60.00,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:40:01,1,0.00,57.654,-0.0000,0,0,59.99,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:40:12,1,0.00,57.650,-0.0000,0,0,60.00,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:40:22,1,0.00,57.653,-0.0000,0,0,60.00,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:40:32,1,0.00,57.367,0,0,0,60.01,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:40:42,1,0.00,57.367,0.0000,0,0,60.01,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:40:53,1,0.00,57.366,0.0000,0,0,60.01,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:41:03,1,0.00,57.364,0.0000,0,0,60.01,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:41:13,1,0.00,57.373,0,0,0,60.02,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:41:24,1,0.00,57.371,0.0000,0,0,60.01,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:41:34,1,0.00,57.379,0,0,0,60.02,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:41:44,1,0.00,57.375,0,0,0,60.01,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:41:55,1,0.00,57.368,0.0000,0,0,60.01,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:42:05,1,0.00,57.368,0.0000,0,0,60.01,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:42:15,1,0.00,57.368,0.0000,0,0,60.00,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:42:25,1,0.00,57.369,0.0000,0,0,60.00,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
92:42:35,1,0.00,57.387,0,0,0,60.00,114.923,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0
